system,noise,auc,pd_at_pfa
bistable_A0.05,0.01,1.0000,1.0000
bistable_A0.05,0.0132162,1.0000,1.0000
bistable_A0.05,0.0174668,1.0000,1.0000
bistable_A0.05,0.0230845,0.9921,1.0000
bistable_A0.05,0.030509,0.9249,0.0820
bistable_A0.05,0.0403213,0.7531,0.2100
bistable_A0.05,0.0532894,0.6652,0.1340
bistable_A0.05,0.0704284,0.7435,0.2700
bistable_A0.05,0.0930796,0.7601,0.3460
bistable_A0.05,0.123016,0.7800,0.3460
bistable_A0.05,0.16258,0.7923,0.3240
bistable_A0.05,0.21487,0.7755,0.3280
bistable_A0.05,0.283976,0.7217,0.2540
bistable_A0.05,0.375309,0.7139,0.2180
bistable_A0.05,0.496016,0.6561,0.2020
bistable_A0.05,0.655545,0.6541,0.1900
bistable_A0.05,0.866382,0.5937,0.1280
bistable_A0.05,1.14503,0.6038,0.0880
bistable_A0.05,1.51329,0.5861,0.1080
bistable_A0.05,2,0.5665,0.0800
bistable_A0.3,0.01,1.0000,
bistable_A0.3,0.0132162,1.0000,
bistable_A0.3,0.0174668,1.0000,
bistable_A0.3,0.0230845,1.0000,
bistable_A0.3,0.030509,1.0000,
bistable_A0.3,0.0403213,1.0000,
bistable_A0.3,0.0532894,1.0000,
bistable_A0.3,0.0704284,1.0000,
bistable_A0.3,0.0930796,1.0000,
bistable_A0.3,0.123016,1.0000,
bistable_A0.3,0.16258,1.0000,
bistable_A0.3,0.21487,1.0000,
bistable_A0.3,0.283976,1.0000,
bistable_A0.3,0.375309,1.0000,
bistable_A0.3,0.496016,1.0000,
bistable_A0.3,0.655545,1.0000,
bistable_A0.3,0.866382,1.0000,
bistable_A0.3,1.14503,0.9990,
bistable_A0.3,1.51329,0.9957,
bistable_A0.3,2,0.9903,
threshold,0.05,0.5000,0.0000
threshold,0.0729856,0.5100,0.0200
threshold,0.106538,0.9860,0.9720
threshold,0.155515,1.0000,1.0000
threshold,0.227007,1.0000,1.0000
threshold,0.331365,1.0000,1.0000
threshold,0.483698,1.0000,1.0000
threshold,0.706061,1.0000,1.0000
threshold,1.03065,1.0000,1.0000
threshold,1.50445,1.0000,1.0000
threshold,2.19606,1.0000,1.0000
threshold,3.20562,1.0000,1.0000
threshold,4.67928,1.0000,1.0000
threshold,6.83041,1.0000,1.0000
threshold,9.97044,0.9992,1.0000
threshold,14.554,0.9762,0.8780
threshold,21.2446,0.8714,0.5200
threshold,31.0111,0.7531,0.2940
threshold,45.2672,0.6372,0.1460
threshold,66.0772,0.5486,0.0920
threshold,96.4537,0.5401,0.0660
threshold,140.795,0.4838,0.0560
threshold,205.52,0.5072,0.0340
threshold,300,0.4952,0.0460
